qid,timeout,n_sample,n_reject,estimate,rel_ci,runtime
0,5000.0,249122.0,152312.0,79837.13935541085,0.009094,5.003885746002197
1,5000.0,1660.0,2297042.0,10023706.382079974,0.048088,5.003229141235352
2,5000.0,417.0,2136615.0,1459838.1425196254,0.095971,5.003221750259399
3,5000.0,491.0,2122025.0,1730653.784638137,0.088442,5.003109693527222
4,5000.0,271.0,1921169.0,8065120.943625614,0.119051,5.003270387649536
5,5000.0,245257.0,325893.0,429209.6218786659,0.007947,5.003355979919434
6,5000.0,7255.0,2107784.0,54924331.360816516,0.022971,5.003113031387329
6,5000.0,383886.0,4501.0,10973.339406313806,0.000341,5.003190040588379
6,5000.0,130.0,406095.0,619281.0248015262,0.171873,5.003150463104248
7,5000.0,4674.0,2069800.0,36121441.677417986,0.028636,5.003150939941406
7,5000.0,367556.0,66422.0,9402.79625234459,0.001265,5.003112316131592
7,5000.0,137.0,447102.0,592777.850478156,0.167426,5.0032665729522705
8,5000.0,391557.0,2006.0,173416.56325670858,0.000224,5.003210067749023
8,5000.0,22.0,2004705.0,579946.4070519328,0.417864,5.003245830535889
8,5000.0,382217.0,220.0,303012.58920815715,7.6e-05,5.00321364402771
8,5000.0,32.0,2008468.0,841973.7720288773,0.346473,5.003160715103149
9,5000.0,182.0,3908795.0,744861.6849932859,0.145279,5.003222703933716
9,5000.0,722721.0,20397.0,169520.7004876749,0.000382,5.003072738647461
9,5000.0,340142.0,2345547.0,11624.17280779718,0.003141,5.003011226654053
9,5000.0,176.0,3911091.0,719884.0748432669,0.147735,5.003097772598267
10,5000.0,208.0,2702871.0,1216205.0304264138,0.135894,5.0030903816223145
10,5000.0,312480.0,706247.0,53465.57654798587,0.002919,5.003100633621216
10,5000.0,144808.0,213765.0,31960.549918705536,0.009512,5.003085136413574
10,5000.0,48.0,2694622.0,281538.53668167157,0.282894,5.003156423568726
11,5000.0,9654.0,1958086.0,259274617.01133788,0.019899,5.003031253814697
11,5000.0,256834.0,647709.0,49491.78797470104,0.003273,5.003098726272583
11,5000.0,196443.0,176112.0,126644.77837903128,0.006952,5.003091335296631
11,5000.0,154372.0,398694.0,1013695.2082843638,0.007494,5.0030927658081055
12,5000.0,381.0,1893443.0,11504130.0,0.100402,5.003053426742554
12,5000.0,328120.0,557379.0,64588.392081752776,0.002715,5.003039360046387
12,5000.0,90454.0,607606.0,23310.641313067645,0.020271,5.002958059310913
12,5000.0,103064.0,561717.0,318700.9452135365,0.016486,5.002731561660767
13,5000.0,27.0,4122564.0,374508.72013255744,0.377194,5.002586841583252
13,5000.0,112463.0,860341.0,20150.88673052331,0.005496,5.0024847984313965
13,5000.0,771.0,881501.0,39.54148607232237,0.073536,5.002405643463135
13,5000.0,871.0,897626.0,190.8922567354148,0.069255,5.002088308334351
14,5000.0,1651.0,2238027.0,10229136.131868063,0.048219,5.001973628997803
14,5000.0,659451.0,207914.0,132522.7632599886,0.001182,5.001901626586914
14,5000.0,693651.0,0.0,79610.0,0.0,5.001883268356323
14,5000.0,1651.0,2234853.0,10243653.109294685,0.048219,5.001988172531128
15,5000.0,1660.0,2312080.0,9966061.305894352,0.048088,5.002315998077393
15,5000.0,264998.0,752032.0,45417.024463388494,0.003274,5.0024378299713135
15,5000.0,236785.0,163571.0,54993.127426590334,0.004473,5.002399921417236
15,5000.0,39.0,2310777.0,234438.6771750758,0.313843,5.002452850341797
16,5000.0,299753.0,219390.0,595.8764656366358,0.002327,5.002460956573486
16,5000.0,80357.0,822600.0,2751679.731017092,0.020298,5.002867698669434
16,5000.0,212.0,960587.0,74703.61040758785,0.134596,5.003102540969849
17,5000.0,391944.0,384.0,11091.133663669176,9.8e-05,5.002950191497803
17,5000.0,385048.0,159.0,302648.025876996,6.4e-05,5.003015995025635
17,5000.0,59.0,2476038.0,80094.50555208459,0.255163,5.003076076507568
17,5000.0,52.0,2473668.0,70659.59930469091,0.271795,5.003048658370972
18,5000.0,390182.0,1812.0,11050.680785930397,0.000213,5.002954721450806
18,5000.0,196036.0,164573.0,88277.12889029391,0.026217,5.002957105636597
18,5000.0,12.0,425487.0,12600.421284186332,0.565786,5.00296950340271
19,5000.0,387377.0,2520.0,291889.1760541887,0.000253,5.003019571304321
19,5000.0,185699.0,168778.0,69955.50289581553,0.013728,5.003023624420166
19,5000.0,241577.0,41258.0,250932.25264199974,0.001523,5.003124237060547
20,5000.0,403598.0,55108.0,288496.20677296567,0.001069,5.00309681892395
20,5000.0,93999.0,598708.0,32282.959489365636,0.02431,5.003051042556763
20,5000.0,68735.0,535262.0,27205.70313428709,0.028684,5.002961158752441
21,5000.0,235171.0,193373.0,2736915.6039426522,0.008965,5.002893924713135
21,5000.0,97321.0,617461.0,33459.16025725326,0.024022,5.002917051315308
21,5000.0,193803.0,164563.0,86822.60461929982,0.02858,5.002909898757935
21,5000.0,49165.0,536419.0,2436206.092707451,0.186301,5.003039121627808
22,5000.0,177112.0,248473.0,1059430.8375295182,0.012765,5.003025770187378
22,5000.0,86793.0,614641.0,20271.672316996326,0.019767,5.00290060043335
22,5000.0,244244.0,160982.0,62172.44346364745,0.004933,5.002897500991821
22,5000.0,56887.0,544369.0,142470.5423313863,0.048414,5.0029120445251465
23,5000.0,16609.0,449441.0,29629.93817186997,0.06649,5.002960681915283
23,5000.0,3972.0,730839.0,434.6890901197723,0.058023,5.0028486251831055
23,5000.0,246074.0,162019.0,62364.2108538985,0.004909,5.002819061279297
23,5000.0,3859.0,724814.0,4942.610368436871,0.082131,5.002860069274902
24,5000.0,393633.0,2849.0,173052.4968724936,0.000265,5.002957344055176
24,5000.0,41.0,2464086.0,32198.218074798904,0.306092,5.002984046936035
24,5000.0,16.0,2044366.0,447294.23632178333,0.489989,5.003058195114136
24,5000.0,391249.0,827.0,11078.582718656588,0.000144,5.002960443496704
24,5000.0,439021.0,111137.0,261651.5939929984,0.00133,5.003030776977539
24,5000.0,26.0,2556976.0,37014.25613902531,0.384379,5.003105878829956
24,5000.0,46.0,2461929.0,36156.40656789772,0.288978,5.003048896789551
24,5000.0,20.0,2037314.0,561052.0203363808,0.438259,5.003079414367676
24,5000.0,0.0,1616691.0,0.0,0.0,5.0031654834747314
24,5000.0,31.0,2552136.0,44215.98972794492,0.352018,5.003208160400391
24,5000.0,0.0,1616555.0,0.0,0.0,5.003238916397095
25,5000.0,399606.0,9642.0,170198.32431679568,0.000476,5.003183126449585
25,5000.0,32.0,2379550.0,26023.180340076535,0.346474,5.003194093704224
25,5000.0,546535.0,0.0,11102.0,0.0,5.003059148788452
25,5000.0,193650.0,162191.0,77984.46258300758,0.021723,5.0030553340911865
25,5000.0,32.0,2375713.0,26065.209658443982,0.346474,5.003130197525024
25,5000.0,13.0,440471.0,203584.15941328174,0.543589,5.003182888031006
25,5000.0,12083.0,329879.0,8563.153142746854,0.095872,5.003129959106445
25,5000.0,0.0,441516.0,0.0,0.0,5.003172159194946
26,5000.0,4766.0,2051983.0,37149853.60726078,0.028357,5.003210067749023
26,5000.0,18.0,4076426.0,252363.4130923913,0.461967,5.003196954727173
26,5000.0,251715.0,780933.0,42488.033749157505,0.003397,5.003166198730469
26,5000.0,9600.0,3921755.0,82596.54479842192,0.059113,5.003243684768677
26,5000.0,185894.0,180945.0,40585.33644459831,0.007185,5.0031304359436035
26,5000.0,3048.0,734749.0,245.42914378887417,0.043038,5.002992630004883
26,5000.0,22.0,4086893.0,250262474.08244115,0.563033,5.003166437149048
26,5000.0,151175.0,481399.0,256345.24330750236,0.008735,5.003225326538086
26,5000.0,1.0,4078000.0,14014.836641776204,1.959964,5.003222227096558
26,5000.0,1244.0,319991.0,1678.899758743599,0.120716,5.003210544586182
26,5000.0,0.0,4085531.0,0.0,0.0,5.00325870513916
27,5000.0,410688.0,54628.0,289549.35577543004,0.001048,5.003154039382935
27,5000.0,251690.0,29544.0,3690131.025533897,0.014265,5.0031726360321045
27,5000.0,194528.0,164190.0,88279.55232243713,0.026903,5.003053903579712
27,5000.0,251500.0,152536.0,79996.57363452761,0.009043,5.002948045730591
27,5000.0,223.0,347529.0,16798641.49587062,0.131207,5.003144264221191
27,5000.0,14.0,503917.0,367527.56071763794,0.523816,5.003210783004761
27,5000.0,122339.0,130341.0,3287551.0024536964,0.172939,5.003222227096558
27,5000.0,5.0,295249.0,22895918.052930698,1.320679,5.0032148361206055
28,5000.0,147072.0,370943.0,93092.17674391669,0.004325,5.0032219886779785
28,5000.0,67261.0,244617.0,209202.55225440717,0.027158,5.003213882446289
28,5000.0,38217.0,331680.0,9933.830122980182,0.021848,5.003193140029907
28,5000.0,232989.0,156658.0,60651.4878056292,0.005171,5.003158807754517
28,5000.0,30.0,347858.0,2221421.218783057,0.357824,5.003265857696533
28,5000.0,1.0,502577.0,25374.266251208766,1.959964,5.0032618045806885
28,5000.0,33697.0,307730.0,82549.8448628843,0.06506,5.003227949142456
28,5000.0,0.0,290719.0,0.0,0.0,5.003266096115112
29,5000.0,229863.0,192562.0,1178900.7752192698,0.009028,5.003185749053955
29,5000.0,176536.0,248962.0,1054801.1994556966,0.012805,5.003030776977539
29,5000.0,97513.0,612486.0,34080.238986252094,0.022836,5.002940893173218
29,5000.0,302175.0,19515.0,1486380.3954428176,0.006668,5.002966642379761
29,5000.0,680599.0,27746.0,37047.67626227333,0.00047,5.00296688079834
29,5000.0,253834.0,154069.0,79771.93180731694,0.009232,5.002865552902222
29,5000.0,134111.0,115771.0,232827973.59559312,0.016938,5.003052234649658
29,5000.0,229567.0,193425.0,1196153.949095964,0.008979,5.002979278564453
29,5000.0,64943.0,537512.0,1115708.3556863167,0.119239,5.0028910636901855
29,5000.0,302151.0,19447.0,1490608.1969974937,0.006679,5.002964019775391
29,5000.0,167767.0,143711.0,233447019.8637785,0.015164,5.0030341148376465
30,5000.0,40153.0,881529.0,370797.62771107606,0.022204,5.0030293464660645
30,5000.0,169874.0,246688.0,944258.2812378469,0.013069,5.00310206413269
30,5000.0,89117.0,606489.0,28258.13034246398,0.023665,5.002928256988525
30,5000.0,173400.0,113036.0,414764.29818877514,0.017467,5.00296688079834
30,5000.0,156026.0,201060.0,38523.15377808147,0.0118,5.002926826477051
30,5000.0,236226.0,159098.0,67247.0672714027,0.007227,5.002867937088013
30,5000.0,49245.0,200595.0,19838191.50433878,0.075823,5.003135442733765
30,5000.0,32942.0,551111.0,242040.22707014604,0.118094,5.0030388832092285
30,5000.0,57580.0,533720.0,507019.5567427702,0.103662,5.002974271774292
30,5000.0,100639.0,163693.0,313372.9808498403,0.102155,5.002944469451904
30,5000.0,30075.0,515681.0,6198626.12585661,0.175639,5.003005027770996
31,5000.0,9025.0,1792253.0,236129841.00594133,0.020579,5.003087759017944
31,5000.0,364.0,1829451.0,11309343.806472238,0.10272,5.003208875656128
31,5000.0,313133.0,537823.0,64140.38747596821,0.002785,5.00312066078186
31,5000.0,68699.0,809425.0,12581345.808204765,0.023889,5.003131151199341
31,5000.0,393008.0,365776.0,140041.83409244264,0.002171,5.00311803817749
31,5000.0,68476.0,1047344.0,20016.014332060728,0.007256,5.003080129623413
31,5000.0,9.0,1188135.0,116437051829.4434,0.653319,5.003194808959961
31,5000.0,80.0,1818387.0,2073332.5773852372,0.219126,5.0031256675720215
31,5000.0,7.0,1834170.0,216970.1571167886,0.740796,5.003205060958862
31,5000.0,97073.0,447583.0,429244.43340383656,0.01468,5.003219127655029
31,5000.0,0.0,1184952.0,0.0,0.0,5.003292798995972
32,5000.0,9695.0,1960792.0,260012759.4291792,0.019857,5.003081560134888
32,5000.0,25.0,4073865.0,347404.29368490557,0.391992,5.003133058547974
32,5000.0,105924.0,834235.0,19638.25567802893,0.005673,5.003145217895508
32,5000.0,12739.0,3859611.0,566020.8417937428,0.052159,5.00321364402771
32,5000.0,181742.0,281350.0,62975.84680797768,0.005467,5.003164291381836
32,5000.0,776.0,851990.0,39.35610706805853,0.073398,5.003027677536011
32,5000.0,38.0,4076678.0,3033597731.3147936,0.346057,5.0031139850616455
32,5000.0,81988.0,659833.0,158762.7350465948,0.009769,5.003186941146851
32,5000.0,0.0,4072032.0,0.0,0.0,5.0032219886779785
32,5000.0,321.0,375628.0,430.3946146950783,0.163108,5.003210783004761
