qid,timeout,n_sample,n_reject,estimate,rel_ci,runtime
0,1000.0,49836.0,30113.0,79351.21108456641,0.018986,1.003617286682129
1,1000.0,332.0,453751.0,10148591.296260815,0.107528,1.0031108856201172
2,1000.0,91.0,422262.0,1611927.4312127533,0.205438,1.003190279006958
3,1000.0,111.0,421252.0,1970816.8122379042,0.186007,1.0031375885009766
4,1000.0,49.0,379943.0,7373777.817638266,0.279977,1.0031676292419434
5,1000.0,48593.0,65237.0,423604.717675481,0.017642,1.0033354759216309
6,1000.0,1472.0,415360.0,56544777.511131585,0.050995,1.0030887126922607
6,1000.0,76817.0,896.0,10973.998352913926,0.000759,1.003147840499878
6,1000.0,30.0,80906.0,717283.0792230899,0.357775,1.0029895305633545
7,1000.0,952.0,410288.0,37112991.43896508,0.063449,1.00303316116333
7,1000.0,73338.0,13224.0,9405.957302280447,0.002829,1.002950668334961
7,1000.0,26.0,89286.0,563345.2040039413,0.384327,1.002927541732788
8,1000.0,77959.0,426.0,173357.7023027365,0.000517,1.0028562545776367
8,1000.0,5.0,395859.0,667489.4665213305,0.876518,1.003007173538208
8,1000.0,75734.0,40.0,303026.95196241455,0.000164,1.0029921531677246
8,1000.0,6.0,396136.0,800425.2520813243,0.800147,1.0030603408813477
9,1000.0,39.0,773799.0,806272.6292712428,0.313838,1.0031158924102783
9,1000.0,143556.0,4179.0,169374.41080312722,0.00087,1.003025770187378
9,1000.0,67637.0,464838.0,11658.498772712333,0.007041,1.002997636795044
9,1000.0,37.0,779722.0,759116.9526353655,0.322209,1.0030579566955566
10,1000.0,38.0,537091.0,1118168.3484600533,0.317937,1.0030310153961182
10,1000.0,61950.0,140212.0,53413.57302559334,0.006558,1.0030014514923096
10,1000.0,28309.0,41836.0,32230.774253332384,0.022227,1.0029995441436768
10,1000.0,11.0,535399.0,324719.52705403336,0.590946,1.0030643939971924
11,1000.0,1973.0,388131.0,267280393.9438073,0.044013,1.0030393600463867
11,1000.0,51330.0,128612.0,49721.99736581787,0.007314,1.0030453205108643
11,1000.0,38840.0,35035.0,126426.24973265652,0.015468,1.0029988288879395
11,1000.0,30819.0,78619.0,1024877.6591768855,0.016664,1.002997875213623
12,1000.0,77.0,375414.0,11726262.560327677,0.223336,1.0030138492584229
12,1000.0,65120.0,110659.0,64573.93431524812,0.006094,1.0029759407043457
12,1000.0,17938.0,121215.0,23259.039690125257,0.038512,1.0028834342956543
12,1000.0,20473.0,112404.0,308658.5179526931,0.036815,1.0028893947601318
13,1000.0,4.0,812450.0,281533.2093632378,0.97998,1.003014087677002
13,1000.0,22196.0,170139.0,20115.2872852055,0.012373,1.0030465126037598
13,1000.0,149.0,175137.0,37.64722795887863,0.166393,1.0029125213623047
13,1000.0,176.0,178416.0,191.29513080093173,0.15355,1.0029795169830322
14,1000.0,329.0,443886.0,10277326.351991715,0.108016,1.0030076503753662
14,1000.0,131202.0,41120.0,132711.81050591334,0.002643,1.0029728412628174
14,1000.0,138350.0,0.0,79610.0,0.0,1.0029716491699219
14,1000.0,297.0,442944.0,9298095.284168206,0.113691,1.003023386001587
15,1000.0,364.0,461112.0,10956763.439182103,0.10269,1.002960443496704
15,1000.0,52890.0,149810.0,45480.96423285644,0.007327,1.0029187202453613
15,1000.0,43169.0,29603.0,55271.58500522179,0.010404,1.0029172897338867
15,1000.0,8.0,457633.0,242825.9419938336,0.692947,1.0030138492584229
16,1000.0,59543.0,43771.0,594.7729833323654,0.005228,1.0030696392059326
16,1000.0,15954.0,161752.0,2778191.0411128495,0.045336,1.0029864311218262
16,1000.0,34.0,189578.0,60708.76121764445,0.336102,1.002986192703247
17,1000.0,78222.0,77.0,11091.082184957662,0.00022,1.0028791427612305
17,1000.0,76680.0,39.0,302619.0857545067,0.00016,1.0028536319732666
17,1000.0,6.0,488849.0,41256.23155332358,0.800148,1.0029699802398682
17,1000.0,10.0,492323.0,68274.64025364946,0.619789,1.0029981136322021
18,1000.0,77824.0,390.0,11046.641879970339,0.000496,1.0028743743896484
18,1000.0,38980.0,32747.0,88100.06167830803,0.056137,1.0028588771820068
18,1000.0,3.0,84953.0,15777.186590705776,1.131572,1.0028045177459717
19,1000.0,76851.0,499.0,291892.71606981254,0.000568,1.0029754638671875
19,1000.0,37118.0,33470.0,70723.56491188303,0.030003,1.0029826164245605
19,1000.0,48090.0,8099.0,251441.8288277065,0.003393,1.0029730796813965
20,1000.0,79965.0,11056.0,288060.60052075895,0.002416,1.0029501914978027
20,1000.0,18629.0,119861.0,32091.830485955667,0.05794,1.0028905868530273
20,1000.0,13554.0,106791.0,27875.46065062944,0.07062,1.0028953552246094
21,1000.0,46881.0,38360.0,2697543.793808144,0.020127,1.0027849674224854
21,1000.0,19049.0,122010.0,31656.359190126117,0.047864,1.002793312072754
21,1000.0,38836.0,32451.0,85861.82726163256,0.063729,1.0028398036956787
21,1000.0,9902.0,106615.0,1445400.7201352592,0.276939,1.0028760433197021
22,1000.0,35185.0,49548.0,1068174.9871006573,0.028541,1.0027995109558105
22,1000.0,17326.0,122663.0,20647.44622791791,0.04355,1.0028221607208252
22,1000.0,49119.0,31885.0,62789.894017579376,0.010952,1.0027523040771484
22,1000.0,11213.0,108866.0,139132.48319856095,0.104496,1.002763032913208
23,1000.0,3166.0,89471.0,32589.64137439684,0.152238,1.0028800964355469
23,1000.0,793.0,145982.0,417.6051779935275,0.114901,1.002828598022461
23,1000.0,49295.0,32314.0,62528.97505177125,0.010896,1.002795696258545
23,1000.0,738.0,144454.0,3973.5644870240785,0.149249,1.0028510093688965
24,1000.0,77950.0,584.0,173008.8210201951,0.000605,1.0028290748596191
24,1000.0,10.0,489725.0,39513.90262080513,0.619789,1.002943992614746
24,1000.0,6.0,404435.0,847874.2438081204,0.800147,1.0030651092529297
24,1000.0,77743.0,174.0,11077.20761836313,0.000332,1.0029857158660889
24,1000.0,87203.0,22087.0,261623.36228383202,0.002984,1.0029737949371338
24,1000.0,8.0,503480.0,57839.9100038134,0.692947,1.0030148029327393
24,1000.0,11.0,487057.0,43703.2923739601,0.590945,1.0030460357666016
24,1000.0,3.0,404770.0,423589.40324576985,1.131583,1.0030689239501953
24,1000.0,0.0,320289.0,0.0,0.0,1.0030796527862549
24,1000.0,7.0,504767.0,50480.983632279,0.740792,1.003058910369873
24,1000.0,0.0,320455.0,0.0,0.0,1.0030786991119385
25,1000.0,79575.0,1854.0,170336.37125594076,0.001048,1.0030128955841064
25,1000.0,9.0,472359.0,36869.99752311757,0.653316,1.0029563903808594
25,1000.0,108982.0,0.0,11102.0,0.0,1.0028293132781982
25,1000.0,38345.0,32110.0,77132.91356184799,0.047136,1.002889633178711
25,1000.0,13.0,469069.0,53629.73516357481,0.543589,1.0029423236846924
25,1000.0,0.0,87480.0,0.0,0.0,1.0029873847961426
25,1000.0,2513.0,65478.0,9055.143695489109,0.344857,1.0029752254486084
25,1000.0,1.0,87444.0,78885.24644061981,1.959964,1.003044605255127
26,1000.0,942.0,406933.0,37026117.885528654,0.063785,1.0030066967010498
26,1000.0,6.0,798093.0,429664.87495912163,0.800149,1.0030555725097656
26,1000.0,49745.0,154399.0,42473.95086311623,0.007642,1.0030279159545898
26,1000.0,1906.0,772590.0,78778.62110069,0.133544,1.0030677318572998
26,1000.0,36857.0,36469.0,40226.70100646428,0.016511,1.003042221069336
26,1000.0,605.0,146616.0,244.18652230320401,0.095084,1.0028760433197021
