qid,timeout,n_sample,n_reject,estimate,rel_ci,runtime
0,9000.0,452539.0,275588.0,80000.7035173809,0.006807,9.004137754440308
1,,,,,,0.0018985271453857422
2,,,,,,0.0015664100646972656
3,,,,,,0.0013010501861572266
4,,,,,,0.0011286735534667969
5,,,,,,0.0043087005615234375
6,,,,,,0.0010166168212890625
6,9000.0,695907.0,8379.0,10969.917780560738,0.000256,9.003052949905396
6,,,,,,0.00225830078125
7,,,,,,0.0013887882232666016
7,9000.0,665377.0,120024.0,9405.406224336359,0.000939,9.002866506576538
7,,,,,,0.0012612342834472656
8,9000.0,710725.0,3573.0,173433.10652556777,0.000164,9.00296688079834
8,9000.0,50.0,3436210.0,768961.1675920914,0.277179,9.00312328338623
8,9000.0,691933.0,435.0,302996.5140951055,5.9e-05,9.003124952316284
8,9000.0,46.0,3435648.0,707560.8193308251,0.288979,9.00318956375122
9,,,,,,0.0019288063049316406
9,,,,,,0.0025141239166259766
9,,,,,,0.003807544708251953
9,,,,,,0.0013015270233154297
10,,,,,,0.0010726451873779297
10,,,,,,0.0013871192932128906
10,9000.0,262133.0,387467.0,32292.93827586207,0.007061,9.003009557723999
10,,,,,,0.0013439655303955078
11,,,,,,0.0007901191711425781
11,,,,,,0.0011477470397949219
11,9000.0,351967.0,318100.0,126605.93767041207,0.005233,9.002967119216919
11,,,,,,0.0017120838165283203
12,,,,,,0.0010333061218261719
12,,,,,,0.0009779930114746094
12,9000.0,162519.0,1096718.0,23273.073079174133,0.014708,9.002970695495605
12,,,,,,0.0012924671173095703
13,,,,,,0.0015211105346679688
13,,,,,,0.000980377197265625
13,9000.0,1456.0,1585430.0,42.52298274734291,0.053777,9.002806425094604
13,,,,,,0.0014433860778808594
14,,,,,,0.0022072792053222656
14,,,,,,0.0009815692901611328
14,9000.0,1242704.0,0.0,79610.0,0.0,9.003700017929077
14,,,,,,0.0013391971588134766
15,,,,,,0.0013499259948730469
15,,,,,,0.001119852066040039
15,9000.0,428195.0,297085.0,54998.253810941984,0.003319,9.002799272537231
15,,,,,,0.0016355514526367188
16,,,,,,0.0011289119720458984
16,,,,,,0.0009610652923583984
16,,,,,,0.0009715557098388672
17,9000.0,711404.0,728.0,11090.650620952296,7.4e-05,9.002766132354736
17,9000.0,696765.0,405.0,302597.11310727656,5.7e-05,9.003010511398315
17,9000.0,89.0,4383957.0,68239.09701084341,0.207754,9.003073930740356
17,9000.0,92.0,4386386.0,70500.18211239176,0.204338,9.002995252609253
18,9000.0,709992.0,3442.0,11048.437814850427,0.000162,9.002926349639893
18,9000.0,356529.0,297591.0,89224.8830673271,0.020494,9.002938270568848
18,9000.0,24.0,771949.0,13890.295790137738,0.40007,9.002897262573242
19,9000.0,700080.0,4357.0,291970.8973833004,0.000184,9.003019571304321
19,9000.0,320166.0,292422.0,69456.53232678407,0.010523,9.002987146377563
19,,,,,,0.002670764923095703
20,9000.0,727860.0,99736.0,288373.26386304427,0.000798,9.003052949905396
20,9000.0,169161.0,1080318.0,31876.09142530607,0.017957,9.003026485443115
20,9000.0,123666.0,967320.0,26445.5284439947,0.020712,9.002970457077026
21,,,,,,0.0013718605041503906
21,9000.0,173349.0,1101029.0,32950.06796805971,0.017446,9.002834558486938
21,9000.0,352799.0,297717.0,84155.47810199903,0.018738,9.00281548500061
21,9000.0,89134.0,967085.0,2345308.1517478856,0.140835,9.002938985824585
22,9000.0,319424.0,448170.0,1055208.7332509113,0.009546,9.002874612808228
22,9000.0,157221.0,1110157.0,20408.991397988604,0.014958,9.002889633178711
22,9000.0,443161.0,291034.0,62287.55500922779,0.00366,9.002844333648682
22,9000.0,102423.0,987533.0,142872.72889914823,0.038421,9.002799987792969
23,9000.0,29860.0,806439.0,30117.793732863483,0.04883,9.002937316894531
23,9000.0,7001.0,1316299.0,449.4166855588302,0.048526,9.002853393554688
23,9000.0,446056.0,293595.0,62311.34987987578,0.003638,9.002819299697876
23,9000.0,6635.0,1307042.0,4614.11166900235,0.071574,9.002803325653076
24,9000.0,708439.0,5041.0,173073.47072798116,0.000196,9.003005504608154
24,9000.0,66.0,4390759.0,29087.66604453605,0.241253,9.003034353256226
24,9000.0,41.0,3569694.0,656422.1802010513,0.306093,9.003108978271484
24,9000.0,713653.0,1561.0,11077.769179574225,0.000108,9.002958536148071
24,9000.0,790149.0,198761.0,261985.79780970968,0.000989,9.00296926498413
24,9000.0,58.0,4555881.0,46342.22043095836,0.257354,9.003094673156738
24,9000.0,73.0,4385450.0,32211.617640586996,0.229395,9.002997398376465
