qid,timeout,n_sample,n_reject,estimate,rel_ci,runtime
0,100.0,4596.0,2766.0,81422.3207008965,0.069098,0.1037442684173584
1,100.0,35.0,41280.0,11758805.573641535,0.331158,0.1015007495880127
2,100.0,5.0,39719.0,941665.6058050549,0.876478,0.10139036178588867
3,100.0,11.0,41188.0,1997494.9381052938,0.59088,0.10329842567443848
4,100.0,5.0,35942.0,7953820.2798564555,0.876474,0.10188555717468262
5,100.0,4659.0,6510.0,431672.54570686724,0.060166,0.10241079330444336
6,100.0,122.0,39970.0,48724551.55691908,0.177179,0.10267090797424316
6,100.0,7569.0,98.0,10960.093648102256,0.002547,0.10319828987121582
6,100.0,4.0,8044.0,961796.277335984,0.979799,0.10281825065612793
7,100.0,110.0,39965.0,44005151.21147848,0.186621,0.10279226303100586
7,100.0,7338.0,1393.0,9330.715381972283,0.00914,0.10281181335449219
7,100.0,1.0,8943.0,216361.14825581395,1.959964,0.10282778739929199
8,100.0,7793.0,55.0,173083.44355249745,0.001859,0.10272741317749023
8,100.0,0.0,37873.0,0.0,0.0,0.10274338722229004
8,100.0,7497.0,7.0,302904.1763059702,0.000691,0.10278582572937012
8,100.0,1.0,37804.0,1397884.1432350217,1.959964,0.1028132438659668
9,100.0,6.0,73173.0,1311692.822531054,0.800125,0.10290098190307617
9,100.0,14079.0,391.0,169595.03075328266,0.002715,0.10277867317199707
9,100.0,6698.0,45949.0,11676.939540714571,0.022373,0.1027688980102539
9,100.0,6.0,76922.0,1247768.9405678036,0.800126,0.1027824878692627
10,100.0,4.0,52641.0,1200895.0654383132,0.979954,0.10279679298400879
10,100.0,6112.0,13771.0,53581.0571845295,0.020865,0.10279345512390137
10,100.0,2797.0,4098.0,32089.691370558376,0.073395,0.10280990600585938
10,100.0,1.0,52049.0,303655.7191162344,1.959964,0.10280656814575195
11,100.0,184.0,36734.0,263390482.86581072,0.144132,0.10281109809875488
11,100.0,5039.0,12645.0,49667.65974892558,0.023348,0.1028439998626709
11,100.0,3807.0,3384.0,126488.03073286053,0.048216,0.10275554656982422
11,100.0,3032.0,7819.0,1040753.935121187,0.054476,0.10275959968566895
12,100.0,6.0,35794.0,9583775.785474861,0.800096,0.10276055335998535
12,100.0,6490.0,10854.0,65223.67677583026,0.019247,0.10273885726928711
12,100.0,1800.0,11909.0,28091.30862936757,0.151893,0.10270452499389648
12,100.0,2003.0,11091.0,294217.8944554758,0.117489,0.10274362564086914
13,100.0,1.0,75874.0,753650.0233278419,1.959964,0.10281610488891602
13,100.0,2164.0,16660.0,20038.03761155971,0.039638,0.1027822494506836
13,100.0,18.0,17329.0,48.71147748890298,0.484751,0.10272002220153809
13,100.0,15.0,17600.0,168.21941527107577,0.528143,0.1027669906616211
14,100.0,32.0,41832.0,10606857.290273266,0.346348,0.10278868675231934
14,100.0,12963.0,4042.0,132873.60864451632,0.008393,0.10273265838623047
14,100.0,13655.0,0.0,79610.0,0.0,0.1027069091796875
14,100.0,33.0,43154.0,10603234.645842498,0.34106,0.10275077819824219
15,100.0,33.0,45122.0,10151684.554202192,0.341065,0.10275435447692871
15,100.0,5237.0,14752.0,45666.881034569014,0.023267,0.10273432731628418
15,100.0,4248.0,2941.0,54756.38781471693,0.033865,0.10276436805725098
15,100.0,3.0,44091.0,945086.9754388352,1.13156,0.1027827262878418
16,100.0,5957.0,4344.0,596.7987574021939,0.016492,0.10284709930419922
16,100.0,1532.0,15814.0,3070422.580421999,0.147144,0.10272479057312012
16,100.0,4.0,18340.0,73825.13039686001,0.979902,0.10278558731079102
17,100.0,7684.0,8.0,11090.453458138327,0.000721,0.10271739959716797
17,100.0,7487.0,4.0,302611.32705913763,0.000523,0.1027219295501709
17,100.0,1.0,46398.0,72445.22179357313,1.959964,0.10271859169006348
17,100.0,1.0,47513.0,70745.16660352738,1.959964,0.10277867317199707
18,100.0,7753.0,41.0,11043.59840903259,0.001615,0.10271382331848145
18,100.0,3862.0,3215.0,73112.49229899675,0.120039,0.10273909568786621
18,100.0,0.0,8309.0,0.0,0.0,0.10269331932067871
19,100.0,7645.0,43.0,292144.8048907388,0.001677,0.10269951820373535
19,100.0,3695.0,3336.0,69454.6650547575,0.087991,0.10276460647583008
19,100.0,4762.0,831.0,250137.39603075272,0.010949,0.1027534008026123
20,100.0,7826.0,1130.0,286517.58463599824,0.00787,0.10273194313049316
20,100.0,1859.0,11782.0,36090.68550692764,0.164397,0.10273241996765137
20,100.0,1408.0,10532.0,32149.74673366834,0.231054,0.10278129577636719
21,100.0,4648.0,3775.0,2740129.696307729,0.064747,0.10272622108459473
21,100.0,1906.0,12101.0,28532.906046976514,0.147715,0.10275053977966309
21,100.0,3865.0,3244.0,83139.10324940216,0.165759,0.10272383689880371
21,100.0,1023.0,10566.0,1594034.2780222625,0.902634,0.10276961326599121
22,100.0,3534.0,4830.0,1073396.3992109038,0.090659,0.1027231216430664
22,100.0,1742.0,12137.0,18452.63167375171,0.0968,0.10269832611083984
22,100.0,4851.0,3165.0,63168.790543912175,0.033768,0.10269308090209961
22,100.0,1151.0,10843.0,146217.62964815742,0.210345,0.10269689559936523
23,100.0,339.0,8849.0,26993.60100130605,0.473047,0.10274243354797363
23,100.0,67.0,14535.0,312.06170387618135,0.286134,0.10268521308898926
23,100.0,4903.0,3189.0,63442.60689569946,0.034578,0.10271334648132324
23,100.0,82.0,14432.0,4342.564076064489,0.412068,0.10270547866821289
24,100.0,7628.0,49.0,173192.46320177152,0.001793,0.1027231216430664
24,100.0,0.0,46412.0,0.0,0.0,0.10270214080810547
24,100.0,0.0,39019.0,0.0,0.0,0.10275888442993164
24,100.0,7701.0,24.0,11067.508349514563,0.001245,0.10272860527038574
24,100.0,8554.0,2236.0,259940.12530120483,0.009647,0.10274982452392578
24,100.0,0.0,48409.0,0.0,0.0,0.10272336006164551
24,100.0,1.0,46503.0,41612.2077670738,1.959964,0.10272359848022461
24,100.0,0.0,39636.0,0.0,0.0,0.10273051261901855
24,100.0,0.0,31599.0,0.0,0.0,0.10277557373046875
24,100.0,1.0,48859.0,74502.91805157594,1.959964,0.10277390480041504
24,100.0,0.0,31730.0,0.0,0.0,0.10276126861572266
25,100.0,7794.0,177.0,170434.47120812946,0.003308,0.10273361206054688
25,100.0,1.0,45812.0,42239.84698666317,1.959964,0.10276031494140625
25,100.0,10785.0,0.0,11102.0,0.0,0.10267496109008789
25,100.0,3788.0,3157.0,72198.02015838733,0.110168,0.10271239280700684
25,100.0,1.0,45494.0,42535.094186174305,1.959964,0.10272908210754395
25,100.0,0.0,8642.0,0.0,0.0,0.10274744033813477
25,100.0,226.0,6490.0,5362.306432400238,0.234047,0.10275053977966309
25,100.0,0.0,8724.0,0.0,0.0,0.10276937484741211
26,100.0,85.0,39355.0,34551458.362068966,0.212361,0.10274386405944824
26,100.0,0.0,73597.0,0.0,0.0,0.10277318954467773
26,100.0,4813.0,15062.0,42210.31270440252,0.024595,0.10273504257202148
26,100.0,163.0,74215.0,73280.83874263895,0.431454,0.10276675224304199
26,100.0,3645.0,3552.0,42082.74697790746,0.056446,0.10274004936218262
26,100.0,58.0,14487.0,221.66792712272257,0.287355,0.10274314880371094
26,100.0,0.0,77226.0,0.0,0.0,0.10277748107910156
26,100.0,2903.0,9434.0,261987.3239037043,0.060983,0.10278868675231934
26,100.0,0.0,77325.0,0.0,0.0,0.10277175903320312
26,100.0,28.0,6232.0,2156.73642172524,0.780483,0.10279989242553711
26,100.0,0.0,78283.0,0.0,0.0,0.10282039642333984
27,100.0,8001.0,1038.0,290390.537006306,0.007426,0.10272836685180664
27,100.0,4928.0,548.0,3776240.6986851715,0.102964,0.10274815559387207
27,100.0,3758.0,3317.0,80798.19081272084,0.128876,0.10271739959716797
27,100.0,4963.0,2940.0,84951.40136656965,0.068779,0.10267210006713867
27,100.0,2.0,6476.0,8087755.005866008,1.385797,0.10276007652282715
27,100.0,0.0,9928.0,0.0,0.0,0.10269927978515625
27,100.0,2433.0,2523.0,5589210.986682809,1.568714,0.1027061939239502
27,100.0,0.0,5852.0,0.0,0.0,0.1027231216430664
28,100.0,2891.0,7327.0,92770.0340575455,0.030869,0.10274696350097656
28,100.0,1312.0,4761.0,205329.78890169604,0.215896,0.10279035568237305
28,100.0,733.0,6612.0,10812.730565010212,0.155894,0.10272407531738281
28,100.0,4603.0,3085.0,61673.33025494277,0.036004,0.1028144359588623
28,100.0,0.0,6702.0,0.0,0.0,0.10290789604187012
28,100.0,0.0,9679.0,0.0,0.0,0.10289406776428223
28,100.0,690.0,6007.0,75480.41227415261,0.477141,0.10291004180908203
28,100.0,0.0,5739.0,0.0,0.0,0.10290336608886719
29,100.0,4454.0,3776.0,1196642.6106925881,0.06368,0.10279488563537598
29,100.0,3416.0,4918.0,1035351.4769618431,0.093562,0.10275006294250488
29,100.0,1933.0,12109.0,35253.50377439111,0.151056,0.10268473625183105
29,100.0,5915.0,370.0,1458645.7657915673,0.047799,0.10279607772827148
29,100.0,13491.0,551.0,37045.006266913544,0.003343,0.10275912284851074
29,100.0,5084.0,3015.0,82850.72231139647,0.064029,0.10270333290100098
29,100.0,2664.0,2297.0,241895956.32533762,0.118365,0.1028132438659668
29,100.0,4547.0,3851.0,1196445.8328173375,0.063882,0.10277843475341797
29,100.0,1294.0,10562.0,1343551.0437753038,0.689315,0.10270953178405762
29,100.0,5992.0,386.0,1453596.6999059266,0.047554,0.10280585289001465
29,100.0,3320.0,2847.0,208676702.54807848,0.113456,0.10280847549438477
30,100.0,772.0,17118.0,384209.4506428172,0.136484,0.10277295112609863
30,100.0,3219.0,4998.0,907749.7676767677,0.09467,0.10277152061462402
30,100.0,1763.0,11994.0,26588.568437886166,0.141644,0.10273504257202148
30,100.0,3438.0,2213.0,403385.1934170943,0.102971,0.10276198387145996
30,100.0,3038.0,4101.0,37788.71816781062,0.098508,0.10271286964416504
30,100.0,4701.0,3094.0,67776.95522771007,0.059859,0.1027376651763916
30,100.0,986.0,3979.0,16327447.321651561,0.498152,0.10282039642333984
30,100.0,645.0,10995.0,104851.50077319588,0.411948,0.10273575782775879
30,100.0,1186.0,10466.0,352634.1681256437,0.289458,0.1027376651763916
30,100.0,1933.0,3365.0,221440.1551528879,0.241886,0.10279726982116699
30,100.0,617.0,10171.0,2077593.7074527252,0.425078,0.10282564163208008
31,100.0,163.0,33023.0,231481935.20460436,0.153141,0.1027984619140625
31,100.0,2.0,34565.0,3289360.8013423206,1.385884,0.1027994155883789
31,100.0,6093.0,10631.0,63503.96824922267,0.02002,0.10276579856872559
31,100.0,1295.0,15467.0,14390842.630831642,0.16658,0.10278153419494629
31,100.0,7679.0,7018.0,141270.192556304,0.015456,0.10277199745178223
31,100.0,1387.0,20235.0,20922.518453427067,0.050912,0.1027524471282959
31,100.0,0.0,23094.0,0.0,0.0,0.10281062126159668
31,100.0,0.0,34935.0,0.0,0.0,0.10276556015014648
31,100.0,0.0,35192.0,0.0,0.0,0.10280394554138184
31,100.0,1904.0,8612.0,465425.89958158997,0.093966,0.10282707214355469
31,100.0,0.0,23134.0,0.0,0.0,0.10285711288452148
32,100.0,154.0,37430.0,216540004.93268412,0.157617,0.10272431373596191
32,100.0,0.0,74831.0,0.0,0.0,0.10277628898620605
