qid,timeout,n_sample,n_reject,estimate,rel_ci,runtime
0,10000.0,499686.0,304834.0,80163.15476930344,0.006618,10.004100799560547
1,10000.0,3419.0,4613406.0,10279183.289865872,0.033507,10.003375053405762
2,10000.0,816.0,4282576.0,1425220.3493119471,0.068606,10.003434419631958
3,10000.0,993.0,4256972.0,1744724.4142835839,0.06219,10.003316402435303
4,10000.0,504.0,3844622.0,7495288.981968341,0.087298,10.003365278244019
5,10000.0,491909.0,655907.0,428795.5217735247,0.005576,10.003475904464722
6,10000.0,14580.0,4197154.0,55429674.848364115,0.016204,10.00329852104187
6,10000.0,765716.0,9105.0,10971.539274232371,0.000243,10.00324010848999
6,10000.0,332.0,812664.0,790243.1555874813,0.107545,10.003151893615723
7,10000.0,9441.0,4138609.0,36488698.963580474,0.020149,10.003198146820068
7,10000.0,734477.0,132066.0,9409.993103631326,0.000893,10.003205299377441
7,10000.0,240.0,898254.0,516900.70985448983,0.126498,10.00326418876648
8,10000.0,788589.0,4153.0,173391.85465763137,0.00016,10.003173589706421
8,10000.0,55.0,4043541.0,718812.0553895592,0.26428,10.003221273422241
8,10000.0,767065.0,470.0,303001.3434631645,5.5e-05,10.003181457519531
8,10000.0,45.0,4040391.0,588578.9186055664,0.292173,10.003183364868164
9,10000.0,381.0,7833340.0,778079.9744221169,0.10041,10.003309965133667
9,10000.0,1443753.0,41267.0,169461.26426916808,0.000272,10.003172397613525
9,10000.0,681441.0,4702205.0,11617.409068501162,0.002219,10.003122806549072
9,10000.0,373.0,7840951.0,761003.7467180288,0.101481,10.003219842910767
10,10000.0,455.0,5404251.0,1330581.6231077139,0.091881,10.003278493881226
10,10000.0,626886.0,1410122.0,53642.08890195817,0.00206,10.003159284591675
10,10000.0,289560.0,427346.0,32414.35839845112,0.006824,10.003206014633179
10,10000.0,104.0,5401527.0,304306.07694601873,0.192188,10.003284454345703
11,10000.0,19542.0,3931660.0,261372683.5793184,0.013986,10.003201007843018
11,10000.0,516297.0,1294857.0,49688.291876339616,0.002306,10.003235816955566
11,10000.0,391601.0,353548.0,126247.02128970179,0.004882,10.00320029258728
